Total,,Store,Six-Digit SKU,Product,Tax Code,Store Number,Common Name,Sub-Category,Date 1,Price 1,Date 2,Price 2,Date 3,Price 3,Date 4,Price 4,Date 5,Price 5,Date 6,Price 6
"=SUM(K14,M14,O14,Q14,S14,U14)",,Aldi,856508,Broccoli Crowns,NA,160,Broccoli Crowns,Fresh Vegetables,2026-08-23 00:00:00,3.41,,,,,,,,,,
"=SUM(K15,M15,O15,Q15,S15,U15)",,Aldi,356496,Beefsteak Tomatoes,NA,160,Beefsteak Tomatoes,Fresh Vegetables,2026-08-23 00:00:00,2.99,,,,,,,,,,
"=SUM(K16,M16,O16,Q16,S16,U16)",,Aldi,344280,Cauli Crust Pizza,NA,160,Cauliflower Crust Pizza,Frozen Pizza,2026-08-23 00:00:00,8.29,,,,,,,,,,
"=SUM(K17,M17,O17,Q17,S17,U17)",,Aldi,356427,Multi-Peppers 3pk,NA,160,"Multi-Color Peppers, 3-Pack",Fresh Vegetables,2026-08-23 00:00:00,2.69,,,,,,,,,,
"=SUM(K18,M18,O18,Q18,S18,U18)",,Aldi,356591,Pink Lady Apple,NA,160,Pink Lady Apples,Fresh Fruit,2026-08-23 00:00:00,3.69,,,,,,,,,,
"=SUM(K19,M19,O19,Q19,S19,U19)",,Aldi,356488,Baby Carrots,NA,160,Baby Carrots,Fresh Vegetables,2026-08-23 00:00:00,1.29,,,,,,,,,,
"=SUM(K20,M20,O20,Q20,S20,U20)",,Aldi,341979,Pine/Water Spears,NA,160,Pineapple & Watermelon Spears,Fresh-Cut Fruit,2026-08-23 00:00:00,3.89,,,,,,,,,,
"=SUM(K21,M21,O21,Q21,S21,U21)",,Aldi,356504,Blueberries,NA,160,Blueberries,Fresh Fruit,2026-08-23 00:00:00,2.59,,,,,,,,,,
"=SUM(K22,M22,O22,Q22,S22,U22)",,Aldi,356374,Golden Kiwi,NA,160,Golden Kiwi,Fresh Fruit,2026-08-23 00:00:00,4.39,,,,,,,,,,
"=SUM(K23,M23,O23,Q23,S23,U23)",,Aldi,343738,Humus Mini Cups,NA,160,Hummus Mini Cups,Dips & Spreads,2026-08-23 00:00:00,3.45,,,,,,,,,,
"=SUM(K24,M24,O24,Q24,S24,U24)",,Aldi,NA,LesserEvil Popcorn,NA,160,LesserEvil Popcorn,Popcorn,2026-08-23 00:00:00,2.39,,,,,,,,,,
"=SUM(K25,M25,O25,Q25,S25,U25)",,Aldi,262747,Bananas LRW,NA,160,Bananas,Fresh Fruit,2026-08-23 00:00:00,1.31,,,,,,,,,,
"=SUM(K26,M26,O26,Q26,S26,U26)",,Aldi,328752,Fruit & Grain Bars,NA,160,Fruit & Grain Bars,Snack Bars,2026-08-23 00:00:00,1.99,2026-08-23 00:00:00,1.99,,,,,,,,
"=SUM(K27,M27,O27,Q27,S27,U27)",,Aldi,856609,Red Onions,NA,160,Red Onions,Fresh Vegetables,2026-08-23 00:00:00,2.49,,,,,,,,,,
"=SUM(K28,M28,O28,Q28,S28,U28)",,Aldi,739153,Organic Chickpeas,NA,160,Organic Chickpeas,Canned Beans & Legumes,2026-08-23 00:00:00,0.99,2026-08-23 00:00:00,0.99,,,,,,,,
"=SUM(K29,M29,O29,Q29,S29,U29)",,Aldi,381343,Dark Red Kidney,NA,160,Dark Red Kidney Beans,Canned Beans & Legumes,2026-08-23 00:00:00,0.85,2026-08-23 00:00:00,0.85,,,,,,,,
"=SUM(K30,M30,O30,Q30,S30,U30)",,Aldi,381359,Vinaigrette Drssng,NA,160,Vinaigrette Dressing,Salad Dressing,2026-08-23 00:00:00,2.99,,,,,,,,,,
"=SUM(K31,M31,O31,Q31,S31,U31)",,Aldi,356578,Parsley each,NA,160,Parsley,Fresh Herbs,2026-08-23 00:00:00,0.95,,,,,,,,,,
"=SUM(K32,M32,O32,Q32,S32,U32)",,Aldi,400462,OG Croutons,NA,160,Organic Croutons,Croutons,2026-08-23 00:00:00,1.99,,,,,,,,,,
"=SUM(K33,M33,O33,Q33,S33,U33)",,Aldi,344583,Evryd Plate 8.5in,NA,160,"Everyday Paper Plates, 8.5 Inch",Disposable Tableware,2026-08-23 00:00:00,5.25,,,,,,,,,,
"=SUM(K34,M34,O34,Q34,S34,U34)",,Aldi,384545,NO Honey Wheat Brd,NA,160,No [or possibly Nature's Own] Honey Wheat Bread,Bread,2026-08-23 00:00:00,3.37,,,,,,,,,,
"=SUM(K35,M35,O35,Q35,S35,U35)",,Aldi,730325,3pk_Gel Pens,NA,160,"Gel Pens, 3-Pack",Writing Supplies,2026-08-23 00:00:00,5.99,,,,,,,,,,
"=SUM(K36,M36,O36,Q36,S36,U36)",,Aldi,720921,PB Toast Crackers FA,NA,160,Peanut Butter Toast Crackers,Crackers,2026-08-23 00:00:00,2.79,,,,,,,,,,
"=SUM(K37,M37,O37,Q37,S37,U37)",,Aldi,383548,Goat Cheese Logs,NA,160,Goat Cheese Logs,Specialty Cheese,2026-08-23 00:00:00,1.99,,,,,,,,,,
"=SUM(K38,M38,O38,Q38,S38,U38)",,Aldi,713372,Feta Crumbles,NA,160,Feta Cheese Crumbles,Specialty Cheese,2026-08-23 00:00:00,2.89,,,,,,,,,,
"=SUM(K39,M39,O39,Q39,S39,U39)",,Aldi,NA,CollapsibleStorage,NA,160,Collapsible Storage Container/Bin,Storage & Organization,2026-08-23 00:00:00,5.99,,,,,,,,,,
"=SUM(K40,M40,O40,Q40,S40,U40)",,Trader Joe's,NA,EMPIRE KOSHER GROUND TRK,NA,0848,Empire Kosher Ground Turkey,Fresh Poultry,2026-08-24 00:00:00,6.99,2026-08-24 00:00:00,6.99,2026-09-07 00:00:00,6.99,2026-09-07 00:00:00,6.99,2026-09-07 00:00:00,6.99,2026-09-07 00:00:00,6.99
"=SUM(K41,M41,O41,Q41,S41,U41)",,Trader Joe's,NA,R-STRAWBERRIES 1 LB,NA,0848,"Strawberries, 1 lb",Fresh Fruit,2026-08-24 00:00:00,3.99,,,,,,,,,,
"=SUM(K42,M42,O42,Q42,S42,U42)",,Trader Joe's,NA,FIRE ROASTED RED PEPPERS,NA,0848,Fire Roasted Red Peppers,Jarred Vegetables,2026-08-24 00:00:00,3.29,,,,,,,,,,
"=SUM(K43,M43,O43,Q43,S43,U43)",,Trader Joe's,NA,PASTA CHICKPEA FUSILLI,NA,0848,Chickpea Fusilli Pasta,Pasta,2026-08-24 00:00:00,2.99,,,,,,,,,,
"=SUM(K44,M44,O44,Q44,S44,U44)",,Trader Joe's,NA,MUFFIN BLUEBERRY GLUTEN,NA,0848,Gluten-Free Blueberry Muffins,Muffins & Pastries,2026-08-24 00:00:00,5.99,2026-09-07 00:00:00,NA,2026-09-07 00:00:00,NA,,,,,,
"=SUM(K45,M45,O45,Q45,S45,U45)",,Honey Pineapple,NA,1 Caramel Macchiato,NA,NA,1 Caramel Macchiato,Prepared Coffee,2026-08-27 00:00:00,5.5,,,,,,,,,,
"=SUM(K46,M46,O46,Q46,S46,U46)",,Honey Pineapple,NA,1 Iced Caramel Macchiato,NA,NA,1 Iced Caramel Macchiato,Prepared Coffee,2026-08-27 00:00:00,5.5,,,,,,,,,,
"=SUM(K47,M47,O47,Q47,S47,U47)",,Honey Pineapple,NA,1 Frenchy Plate,LF,NA,1 Frenchy Plate,Prepared Meals,2026-08-27 00:00:00,14.9,,,,,,,,,,
"=SUM(K48,M48,O48,Q48,S48,U48)",,Honey Pineapple,NA,1 Chicken N French Toast,T,NA,1 Chicken N French Toast,Prepared Meals,2026-08-27 00:00:00,16.3,,,,,,,,,,
"=SUM(K49,M49,O49,Q49,S49,U49)",,Honey Pineapple,NA,Tax,NA,NA,Tax,Fees & Charges,2026-08-27 00:00:00,2.96,,,,,,,,,,
"=SUM(K50,M50,O50,Q50,S50,U50)",,Honey Pineapple,NA,Tip,NA,NA,Tip,Fees & Charges,2026-08-27 00:00:00,2.96,,,,,,,,,,
"=SUM(K51,M51,O51,Q51,S51,U51)",,Walmart,NA,"Safety 1 Soft Grip Brush & Comb, Artic Blue",NA,0,Safety 1st Soft Grip Brush & Comb,Baby Care,2026-08-06 00:00:00,4.48,2026-08-07 00:00:00,4.48,,,,,,,,
"=SUM(K52,M52,O52,Q52,S52,U52)",,Walmart,NA,The Honest Company Conditioning Detangler Sweet Cream Comfort 4 floz,NA,0,Honest Company Conditioning Detangler,Hair Care,2026-08-06 00:00:00,6.96,2026-08-07 00:00:00,6.96,,,,,,,,
"=SUM(K53,M53,O53,Q53,S53,U53)",,Walmart,NA,"Nestle Toll House Organic Allergen Free Dark Chocolate Regular Baking Chips, Morsels for Baking, 9 oz Bag",NA,0,Nestle Toll House Allergen-Free Dark Chocolate Baking Chips,Baking Ingredients,2026-08-06 00:00:00,8.37,2026-08-07 00:00:00,8.37,,,,,,,,
"=SUM(K54,M54,O54,Q54,S54,U54)",,Walmart,NA,"GHIRARDELLI Gluten Free Double Chocolate Brownie Mix, Gluten Free Baking Mix, Includes Chocolate Chips, 18 oz Box 20 shopped Qty1",NA,0,Ghirardelli Gluten-Free Double Chocolate Brownie Mix,Baking Mixes,2026-08-06 00:00:00,6.67,,,,,,,,,,
"=SUM(K55,M55,O55,Q55,S55,U55)",,Walmart,NA,"Purina Tidy Cats With Glade Clear Springs Scented, Odor Control, Clumping Multi-Cat Litter 20 shopped Qty2",NA,0,Purina Tidy Cats Clumping Cat Litter,Cat Litter,2026-08-06 00:00:00,23.94,2026-08-07 00:00:00,23.94,,,,,,,,
"=SUM(K56,M56,O56,Q56,S56,U56)",,Walmart,NA,"Lawry's Kosher Coarse Ground With Parsley Garlic Salt, 6.0 oz Bottle",NA,0,Lawry's Garlic Salt,Seasonings & Spices,2026-08-06 00:00:00,3.16,2026-08-07 00:00:00,3.16,,,,,,,,
"=SUM(K57,M57,O57,Q57,S57,U57)",,Walmart,NA,"Huggies Natural Care Sensitive Baby Wipes, Unscented, 3 Flip-Top Packs, 168 Count 20 shopped Qty1",NA,0,Huggies Natural Care Baby Wipes,Baby Care,2026-08-06 00:00:00,5.82,2026-08-07 00:00:00,5.82,,,,,,,,
"=SUM(K58,M58,O58,Q58,S58,U58)",,Walmart,NA,"Pampers Swaddlers Fragrance Free Baby Diapers Size 5, 100 Count (Select for More Options) 20 shopped Qty1",NA,0,Pampers Swaddlers Size 5 Diapers,Baby Care,2026-08-06 00:00:00,39.77,,,,,,,,,,
"=SUM(K59,M59,O59,Q59,S59,U59)",,Walmart,NA,Chobani Oatmilk Extra Creamy 52 floz Carton 20 shopped aty1,NA,0,Chobani Extra Creamy Oatmilk,Plant-Based Milk,2026-08-06 00:00:00,4.17,,,,,,,,,,
"=SUM(K60,M60,O60,Q60,S60,U60)",,Walmart,NA,"Desitin Maximum Strength Diaper Rash Cream, 40% Zinc Oxide, 4.8 oz",NA,0,Desitin Maximum Strength Diaper Rash Cream,Baby Care,2026-08-06 00:00:00,7.97,2026-08-07 00:00:00,7.97,,,,,,,,
"=SUM(K61,M61,O61,Q61,S61,U61)",,Walmart,NA,"fairlife Lactose Free Reduced Fat Chocolate Ultra Filtered Milk, 52 floz",NA,0,Fairlife Chocolate Milk,Milk,2026-08-06 00:00:00,5.32,2026-08-07 00:00:00,5.32,,,,,,,,
"=SUM(K62,M62,O62,Q62,S62,U62)",,Walmart,NA,"Nestle Toll House Dark Chocolate Regular Baking Chips, 10 oz Bag 20 shopped Qty1",NA,0,Nestle Toll House Dark Chocolate Baking Chips,Baking Ingredients,2026-08-06 00:00:00,4.96,,,,,,,,,,
"=SUM(K63,M63,O63,Q63,S63,U63)",,Walmart,NA,Dove Body Wash For 24hr Lotion-Soft Skin Sensitive Skin Moisturizing Skin Cleanser Gentle Hypoallergenic Formula With,NA,0,Dove Sensitive Skin Body Wash,Body Wash,2026-08-06 00:00:00,4.97,2026-08-07 00:00:00,4.97,,,,,,,,
"=SUM(K64,M64,O64,Q64,S64,U64)",,Walmart,NA,"No Sulfates No Parabens, 11 Floz",NA,0,Dove Sensitive Skin Body Wash,Body Wash,2026-08-06 00:00:00,4.97,2026-08-07 00:00:00,4.97,,,,,,,,
"=SUM(K65,M65,O65,Q65,S65,U65)",,Walmart,NA,Great Value Large White Eggs 36 Count 20 shopped Qty1,NA,0,Great Value Large White Eggs,Eggs,2026-08-06 00:00:00,4.88,2026-08-07 00:00:00,4.88,,,,,,,,
"=SUM(K66,M66,O66,Q66,S66,U66)",,Walmart,NA,"Chobani 20G Protein Low-Fat Greek Yogurt Drink, Strawberries and Cream 10 fl oz Bottle, 4 Pack",NA,0,"Chobani Protein Greek Yogurt Drink, Strawberries & Cream",Yogurt,2026-08-06 00:00:00,9.67,2026-08-07 00:00:00,9.67,,,,,,,,
"=SUM(K67,M67,O67,Q67,S67,U67)",,Walmart,NA,"McCormick Sea Salt Grinder, oz Bottle 20 shopped aty1",NA,0,McCormick Sea Salt Grinder,Seasonings & Spices,2026-08-06 00:00:00,2.54,,,,,,,,,,
"=SUM(K68,M68,O68,Q68,S68,U68)",,Walmart,NA,"Fresh Mandarin Oranges, 5 lb Bag 20 shopped Qty1",NA,0,Mandarin Oranges,Fresh Fruit,2026-08-06 00:00:00,7.96,2026-08-07 00:00:00,7.96,,,,,,,,
"=SUM(K69,M69,O69,Q69,S69,U69)",,Walmart,NA,"Fresh Pink Lady Apples, 3lb Bag 20 shopped Qty1",NA,0,Pink Lady Apples,Fresh Fruit,2026-08-06 00:00:00,4.97,2026-08-07 00:00:00,4.97,,,,,,,,
"=SUM(K70,M70,O70,Q70,S70,U70)",,Walmart,NA,"Fresh Banana, Each 7 weight adjusted Qty7",NA,0,Bananas,Fresh Fruit,2026-08-06 00:00:00,1.83,2026-08-07 00:00:00,1.83,2026-08-07 00:00:00,1.83,,,,,,
"=SUM(K71,M71,O71,Q71,S71,U71)",,Walmart,NA,CeraVe Baby Healing Ointment for Diaper Rash & Cracked Chafed Dry Skin for Baby + Toddler 3 oz,NA,0,CeraVe Baby Healing Ointment,Baby Care,2026-08-06 00:00:00,9.98,2026-08-07 00:00:00,9.98,,,,,,,,
"=SUM(K72,M72,O72,Q72,S72,U72)",,Walmart,NA,"Fresh Banana, Each 7 weight adjusted Qty7",NA,0,Bananas,Fresh Fruit,2026-08-06 00:00:00,3.48,,,,,,,,,,
"=SUM(K73,M73,O73,Q73,S73,U73)",,Walmart,NA,Tax,NA,0,Tax,Fees & Charges,2026-08-06 00:00:00,3.48,2026-08-07 00:00:00,3.48,2026-08-13 00:00:00,1.76,2026-08-26 00:00:00,6.35,2026-08-26 00:00:00,6.35,,
"=SUM(K74,M74,O74,Q74,S74,U74)",,Walmart,NA,Driver tip,NA,0,Driver Tip,Fees & Charges,2026-08-06 00:00:00,16.92,2026-08-13 00:00:00,17.72,2026-08-26 00:00:00,12.14,,,,,,
"=SUM(K75,M75,O75,Q75,S75,U75)",,Walmart,NA,3 hours orless,NA,0,Express Delivery Fee,Fees & Charges,2026-08-06 00:00:00,5,,,,,,,,,,
"=SUM(K76,M76,O76,Q76,S76,U76)",,Walmart,NA,diff,NA,0,Price Adjustment,Fees & Charges,2026-08-06 00:00:00,2.77,,,,,,,,,,
"=SUM(K77,M77,O77,Q77,S77,U77)",,Walmart,NA,"GHIRARDELLI Gluten Free Double Chocolate Brownie Mix, Gluten Free Baking Mix, Includes Chocolate Chips, 18 oz Box",NA,0,Ghirardelli Gluten-Free Double Chocolate Brownie Mix,Baking Mixes,2026-08-07 00:00:00,6.67,,,,,,,,,,
"=SUM(K78,M78,O78,Q78,S78,U78)",,Walmart,NA,"Pampers Swaddlers Fragrance Free Baby Diapers Size 5, 100 Count (Select for More Options",NA,0,Pampers Swaddlers Size 5 Diapers,Baby Care,2026-08-07 00:00:00,39.77,,,,,,,,,,
"=SUM(K79,M79,O79,Q79,S79,U79)",,Walmart,NA,Chobani Oatmitk Extra Creamy 52 floz Carton 20 shopped Qty1,NA,0,Chobani Extra Creamy Oatmilk,Plant-Based Milk,2026-08-07 00:00:00,4.17,,,,,,,,,,
"=SUM(K80,M80,O80,Q80,S80,U80)",,Walmart,NA,"Nestle Tolt House Dark Chocolate Regular Baking Chips, 10 oz Bag 20 shopped Qty1",NA,0,Nestle Toll House Dark Chocolate Baking Chips,Baking Ingredients,2026-08-07 00:00:00,4.96,,,,,,,,,,
"=SUM(K81,M81,O81,Q81,S81,U81)",,Walmart,NA,"Applegate Natural Chicken & Maple Breakfast Sausage Patties, 16 oz, GF, Resealable Bag (Frozen), About 15 Pieces per Bag",NA,0,Applegate Chicken & Maple Breakfast Sausage,Frozen Meat,2026-08-07 00:00:00,11.76,,,,,,,,,,
"=SUM(K82,M82,O82,Q82,S82,U82)",,Walmart,NA,"McCormick Sea Salt Grinder, oz Bottle 20 shopped Qty1",NA,0,McCormick Sea Salt Grinder,Seasonings & Spices,2026-08-07 00:00:00,2.54,,,,,,,,,,
"=SUM(K83,M83,O83,Q83,S83,U83)",,Walmart,NA,3 hours or less,NA,0,Express Delivery Fee,Fees & Charges,2026-08-07 00:00:00,5,,,,,,,,,,
"=SUM(K84,M84,O84,Q84,S84,U84)",,Walmart,NA,"Nature's Bakery Gluten Free Raspberry Fig Bars in Twin pack Box, 20z Each 36 shopped Qty1",NA,0,Nature's Bakery Gluten-Free Raspberry Fig Bars,Snack Bars,2026-08-13 00:00:00,5.97,,,,,,,,,,
"=SUM(K85,M85,O85,Q85,S85,U85)",,Walmart,NA,"Mahatma Jasmine Rice, Thai Fragrant Long Grain Rice, Gluten Free, 80 oz Bag (5 lbs",NA,0,Mahatma Jasmine Rice,Rice & Grains,2026-08-13 00:00:00,6.88,,,,,,,,,,
"=SUM(K86,M86,O86,Q86,S86,U86)",,Walmart,NA,"Hillshire Farm Ultra Thin Oven Roasted Turkey Breast Lunchmeat, 16 oz Plastic Tub, Refrigerated",NA,0,Hillshire Farm Oven Roasted Turkey Breast,Deli Meat,2026-08-13 00:00:00,6.48,,,,,,,,,,
"=SUM(K87,M87,O87,Q87,S87,U87)",,Walmart,NA,"Hebrew National 100% Kosher Beef Franks, Hot Dogs, 10.3 oz 6 Count",NA,0,Hebrew National Beef Franks,Hot Dogs & Sausages,2026-08-13 00:00:00,5.74,,,,,,,,,,
"=SUM(K88,M88,O88,Q88,S88,U88)",,Walmart,NA,"Dave's Killer Bread Organic Oats & Blues Regular Size Loaf, 25 oz, USDA Organic",NA,0,Dave's Killer Bread Oats & Blues,Bread,2026-08-13 00:00:00,5.98,,,,,,,,,,
"=SUM(K89,M89,O89,Q89,S89,U89)",,Walmart,NA,"Birds Eye Steamfresh Sweet Peas, Frozen Vegetables, 10 oz. Bag",NA,0,Birds Eye Steamfresh Sweet Peas,Frozen Vegetables,2026-08-13 00:00:00,1.27,,,,,,,,,,
"=SUM(K90,M90,O90,Q90,S90,U90)",,Walmart,NA,Cabot Creamery 4 Cheese Mexican Shredded Cheddar Cheese 2 lb (Refrigerated,NA,0,Cabot Mexican Shredded Cheese,Cheese,2026-08-13 00:00:00,11.93,,,,,,,,,,
"=SUM(K91,M91,O91,Q91,S91,U91)",,Walmart,NA,"Ziploc Brand Slider Gallon Freezer Food Storage Bags, School Supplies, with Power Shield Technology, 40 Count",NA,0,Ziploc Gallon Freezer Bags,Food Storage,2026-08-13 00:00:00,7.98,,,,,,,,,,
"=SUM(K92,M92,O92,Q92,S92,U92)",,Walmart,NA,"Ziploc Brand Freezer Food Storage Bags, School Supplies, with Grip 'n Seal Technology, Zipper, Quart, 50 Count",NA,0,Ziploc Quart Freezer Bags,Food Storage,2026-08-13 00:00:00,6.48,,,,,,,,,,
"=SUM(K93,M93,O93,Q93,S93,U93)",,Walmart,NA,"Fresh Mini Cucumbers, 16 oz",NA,0,Mini Cucumbers,Fresh Vegetables,2026-08-13 00:00:00,2.08,,,,,,,,,,
"=SUM(K94,M94,O94,Q94,S94,U94)",,Walmart,NA,"2 pack) Yehuda Sabbath Candles,12ct",T,0,Yehuda Sabbath Candles,Judaica,2026-08-13 00:00:00,3.16,,,,,,,,,,
"=SUM(K95,M95,O95,Q95,S95,U95)",,Walmart,NA,"Fresh Yellow Squash, Each 11 weight adjusted aty1",NA,0,Yellow Squash,Fresh Vegetables,2026-08-13 00:00:00,0.42,2026-08-13 00:00:00,0.42,,,,,,,,
"=SUM(K96,M96,O96,Q96,S96,U96)",,Walmart,NA,"Fresh Zucchini, Each 11 weight adjusted aty1",NA,0,Zucchini,Fresh Vegetables,2026-08-13 00:00:00,0.6,2026-08-13 00:00:00,0.6,,,,,,,,
"=SUM(K97,M97,O97,Q97,S97,U97)",,Walmart,NA,"Fresh Whole Red Onion, Each",NA,0,Red Onion,Fresh Vegetables,2026-08-13 00:00:00,0.88,2026-08-13 00:00:00,0.88,,,,,,,,
"=SUM(K98,M98,O98,Q98,S98,U98)",,Walmart,NA,"Fresh Tomato on the Vine, Bag (1.9 lbs/Bag Est.) 11 weight adjusted Qty1",NA,0,Tomatoes on the Vine,Fresh Vegetables,2026-08-13 00:00:00,3.85,,,,,,,,,,
"=SUM(K99,M99,O99,Q99,S99,U99)",,Walmart,NA,"Fresh Banana, Each 11 weight adjusted Qty7",NA,0,Bananas,Fresh Fruit,2026-08-13 00:00:00,1.76,2026-08-13 00:00:00,1.76,,,,,,,,
"=SUM(K100,M100,O100,Q100,S100,U100)",,Walmart,NA,"Command Heavy Duty Picture Hangers, Hold 20 tbs, Black, Damage-Free Hanging, 8 Pairs Adhesive Strips",NA,0,Command Heavy Duty Picture Hangers,Home Improvement,2026-08-26 00:00:00,28.54,,,,,,,,,,
"=SUM(K101,M101,O101,Q101,S101,U101)",,Walmart,NA,Dove Men+Care Antiperspirant Deodorant Stick 72-Hour Sweat & Odor Protection Clean Comfort Antiperspirant For Men,NA,0,Dove Men+Care Antiperspirant,Deodorant,2026-08-26 00:00:00,NA,,,,,,,,,,
"=SUM(K102,M102,O102,Q102,S102,U102)",,Walmart,NA,"Dawn Ultra 11"" Puff Glassware and Dish Cleaning Brush Wand with Sponge Head",NA,0,Dawn Dish Cleaning Brush Wand,Dishwashing Supplies,2026-08-26 00:00:00,4.46,,,,,,,,,,
"=SUM(K103,M103,O103,Q103,S103,U103)",,Walmart,NA,"Once Upon a Farm Organic Tractor Wheels Toddler Bar, Apple, Sweet Potato & Spinach, 10ct",NA,0,Once Upon a Farm Tractor Wheels Toddler Bars,Baby & Toddler Food,2026-08-26 00:00:00,9.98,,,,,,,,,,
"=SUM(K104,M104,O104,Q104,S104,U104)",,Walmart,NA,"Weiman Granite & Stone Disinfectant Cleaner & Polish, 24 floz",NA,0,Weiman Granite & Stone Cleaner & Polish,Household Cleaners,2026-08-26 00:00:00,6.24,,,,,,,,,,
"=SUM(K105,M105,O105,Q105,S105,U105)",,Walmart,NA,"Chobani Low-Fat Vanilla Greek Yogurt Mixed Berry On The Bottom, Hero Batch z 4PK",NA,0,Chobani Vanilla Mixed Berry Greek Yogurt,Yogurt,2026-08-26 00:00:00,4.67,,,,,,,,,,
"=SUM(K106,M106,O106,Q106,S106,U106)",,Walmart,NA,"Fresh Banana, Each 4 weight adjusted aty4",NA,0,Bananas,Fresh Fruit,2026-08-26 00:00:00,0.6,2026-08-26 00:00:00,0.6,,,,,,,,
"=SUM(K107,M107,O107,Q107,S107,U107)",,Publix,NA,Jif Nsa P/B Creamy,F,120,Jif No Sugar Added Creamy Peanut Butter,Peanut Butter,2026-08-28 00:00:00,3.69,,,,,,,,,,
"=SUM(K108,M108,O108,Q108,S108,U108)",,Publix,NA,King Arth G/ Pnck Hix,F,120,King Arthur Gluten-Free Pancake Mix,Baking Mixes,2026-08-28 00:00:00,5.15,,,,,,,,,,
"=SUM(K109,M109,O109,Q109,S109,U109)",,Publix,NA,Bagged Green Beans,F,120,Green Beans,Fresh Vegetables,2026-08-28 00:00:00,2.99,,,,,,,,,,
"=SUM(K110,M110,O110,Q110,S110,U110)",,Publix,NA,Potato Nibbles Ruby Sensa,F,120,Ruby Sensation Potato Nibbles,Fresh Vegetables,2026-08-28 00:00:00,5.15,,,,,,,,,,
"=SUM(K111,M111,O111,Q111,S111,U111)",,Publix,NA,Cholula Cremosa Gltro Lme,F,120,Cholula Cremosa Cilantro Lime Sauce,Sauces & Condiments,2026-08-28 00:00:00,3.19,,,,,,,,,,
"=SUM(K112,M112,O112,Q112,S112,U112)",,Publix,NA,Mc Sig Evrythng Bgel Ssng,F,120,McCormick Everything Bagel Seasoning,Seasonings & Spices,2026-08-28 00:00:00,6.79,,,,,,,,,,
"=SUM(K113,M113,O113,Q113,S113,U113)",,Publix,NA,Banza White Cheddar Shel,F,120,Banza White Cheddar Shells,Macaroni & Cheese,2026-08-28 00:00:00,3.99,,,,,,,,,,
"=SUM(K114,M114,O114,Q114,S114,U114)",,Publix,NA,anza White Cheddar Shel,F,120,Banza White Cheddar Shells,Macaroni & Cheese,2026-08-28 00:00:00,3.99,,,,,,,,,,
